,Positive,ROI_past_ma10
0,False,
488,0,0.0036732317967286027
489,0,0.00404132941947877
490,0,0.003743493668470079
491,0,0.003560186320446393
492,0,0.003459914967514785
493,0,0.00336791693863036
494,1,0.003092992683204715
495,1,0.0029915035826701486
496,1,0.0032784348715224343
497,1,0.0035768037366043105
498,1,0.0036079595767042768
499,1,0.004045077344015987
500,0,0.0040714068804874395
501,0,0.003748275564513186
502,0,0.003243177193460744
503,0,0.0031407021375800754
504,0,0.0031290489847611846
505,0,0.0026125972812081786
506,0,0.0023756380386335913
507,1,0.0023878267150434155
508,1,0.00273396786209021
509,0,0.0028359253912884413
510,1,0.002721276847484232
511,0,0.0028117253201537205
512,0,0.0023275898143768183
513,0,0.0018152911666453764
514,0,0.0013867480704422743
515,0,0.001043652874291615
516,0,0.0008053445848350203
517,1,0.0005398932960217924
518,1,0.0007149782523818603
519,0,0.0007946943314036507
520,0,-4.544384287879337e-05
521,0,-0.0006513194473783805
522,1,-0.0008714196552313561
523,0,-0.0004072811270978691
524,0,-0.0007705911721532328
525,0,-0.0014006148097331333
526,1,-0.0015551159931458996
527,0,-0.0013854271820169604
528,1,-0.0015961968851831443
529,1,-0.0012373884224788328
530,0,-0.0011725895335173017
531,1,-0.0016057273911913319
532,1,-0.0016427654780030332
533,0,-0.0016957741322258012
534,0,-0.0020673236818406758
535,0,-0.002576246417143527
536,0,-0.0031351043012508295
537,0,-0.0030970588747005444
538,0,-0.0031176940279556316
539,0,-0.0037034090720675615
540,1,-0.0047818392830299705
541,1,-0.004539798894478921
542,1,-0.004085119263695615
543,0,-0.004223665848264426
544,0,-0.0049214584370135175
545,0,-0.00583139912925637
546,0,-0.006070902720313198
547,0,-0.006362996344211166
548,0,-0.006742396417554335
549,1,-0.007036059246460851
550,1,-0.006427593737088262
551,1,-0.006319236114576592
552,1,-0.006396590420227955
553,0,-0.0064216720733584545
554,1,-0.006885223915563675
555,1,-0.007205212955207363
556,0,-0.007354684805400206
557,1,-0.007463976990591478
558,1,-0.006625877730562743
559,1,-0.006420854503893047
560,0,-0.006656000875572955
561,0,-0.0072793464080973536
562,0,-0.007492678010281392
563,1,-0.007768772230596903
564,1,-0.007291686768382327
565,0,-0.007382807667046769
566,1,-0.007634458878794667
567,1,-0.006793840553759531
568,0,-0.005398681427629191
569,0,-0.004944873350997426
570,0,-0.00517481376571314
571,0,-0.005124243709478513
572,0,-0.0046377085212356214
573,0,-0.0048277856767060924
574,0,-0.0049260938589304765
575,1,-0.00529454116464231
576,1,-0.005556630867513936
577,1,-0.004229386037296279
578,1,-0.004120690967778035
579,1,-0.003734661196905423
580,0,-0.0038273000166333566
581,0,-0.004312663250544594
582,1,-0.004476546109238911
583,1,-0.004005284574431547
584,1,-0.0036755167786823003
585,1,-0.0035474758012341958
586,1,-0.003323759725170397
587,0,-0.0035164594928554747
588,0,-0.0036242826205427903
589,0,-0.0035987295544143605
590,0,-0.0035157807711010697
591,0,-0.0033591024837896374
592,1,-0.0034890615439679335
593,1,-0.0031210110651180155
594,0,-0.002764567792702509
595,0,-0.0029813739865223194
596,1,-0.0033047284418228373
597,0,-0.0034442833862235356
598,1,-0.0035525752165871793
599,0,-0.003779805031248717
600,0,-0.004233679832588463
601,0,-0.004672039492320956
602,1,-0.004614141347291163
603,1,-0.004167819042054458
604,1,-0.0036319735109091827
605,1,-0.0029544330986856653
606,0,-0.0023151966839981847
607,0,-0.002120026721099851
608,0,-0.002384114062034431
